Region,餐廳名稱,Tag,Google評分,點解推介呢間餐廳,訂座,排隊,外賣
Tsim Sha Tsui,星座冰室,Cha Chaan Teng,4,懷舊番茄麵始祖、隱藏喺商場地庫、好有探險嘅感覺,,,
Tsim Sha Tsui,芝麻鴨,Cantonese/Beijing Cuisine,4.3,北京烤鴨皮香肉嫩、佢哋嘅創意中菜每次都有驚喜,,,
Tsim Sha Tsui,澳洲牛奶公司,Cha Chaan Teng,4.1,炒蛋滑到一個點、係佐敦必食之選、速度與美味嘅代表,,,
Tsim Sha Tsui,祥興記生煎包,Shanghainese/Snacks,4.2,皮薄多汁、咬開嗰下要小心啲湯汁射出嚟呀、好鮮甜,,,
Tsim Sha Tsui,BLT Steak,Western/Steak,4.1,海景扒房、牛扒肉味濃郁、配埋個海景真係無敵,,,
Tsim Sha Tsui,麥文記麵家,Noodles,4.3,全蝦雲吞超足料、每粒都彈牙到好似喺口入面跳舞咁,,,
Causeway Bay,鼎泰豐,Shanghainese/Dim Sum,4.4,小籠包界嘅王者、摺位精緻、湯汁鮮美、絕對唔會踩雷,,,
Causeway Bay,榮記車仔麵,Noodles/Snacks,4.1,湯底濃郁、個雞翼尖滷得超入味、我每次去都要加兩份,,,
Causeway Bay,何洪記,Noodles/Congee,4,米芝蓮一星粥麵、干炒牛河夠曬火候、每一條河粉都均勻沾滿醬油,,,
Causeway Bay,權八居酒屋,Japanese/Skewers,4.2,電影感十足、食住串燒飲杯清酒、壓力即刻消失晒,,,
Causeway Bay,希慎大閘蟹,Cantonese/Seafood,4.3,季節限定必試、雖然係季節性、但嗰種鮮味真係令人回味,,,
Causeway Bay,聰姐甜品,Dessert,4.2,楊枝甘露超正、行完街嚟一碗消暑、簡直係天堂,,,
Causeway Bay,喜喜冰室,Cha Chaan Teng,4,懷舊裝修好似返咗 70 年代、黑牛同雞脾係必點呀,,,
Causeway Bay,樂君子,Vegetarian,4.1,精緻素食、原來唔食肉都可以咁好味、感覺個人輕盈咗,,,
Causeway Bay,麵鮮醬油房周月,Japanese/Ramen,4.3,沾麵嘅麵條好彈牙、個魚介湯底濃到爆,,,
Causeway Bay,炊丼,Japanese/Sashimi,4.2,海鮮丼超澎湃、每一啖都係海鮮嘅甜味、正,,,
Mong Kok,添好運,Dim Sum,4.4,點心名店、酥皮焗叉燒包係我嘅最愛、冇人可以拒絕佢,,,
Mong Kok,肥姐小食店,Snacks/Dai Pai Dong,4.3,必食大生腸同墨魚、加埋芥末醬、爽口到不得了,,,
Mong Kok,金華冰廳,Cha Chaan Teng,4.2,全港最強菠蘿油、厚切牛油喺熱辣辣嘅包入面溶化、邪惡但滿足,,,
Mong Kok,興記煲仔飯,Cantonese/Claypot Rice,4,廟街必食、個飯焦香到一個點、淋埋豉油真係無敵,,,
Mong Kok,佳佳甜品,Dessert,4.5,發哥都去嘅甜品店、芝麻糊磨得好幼滑、好似絲綢咁,,,
Mong Kok,街坊咖啡,Coffee/Cafe,4.2,隱世 Cafe、拉花好精緻、係鬧市中嘅安靜角落,,,
Mong Kok,點點心,Dim Sum,4.1,創意點心、個豬仔流沙包超得意、一定要相機食先,,,
Mong Kok,慢煮工業,Western/Steak,4.1,低溫慢煮牛扒、肉質好軟腍、價錢仲好親民添,,,
Mong Kok,萬家燒餅店,Snacks/Chinese Pastries,4,傳統燒餅、熱辣辣煙煙韌韌、係兒時嘅味道,,,
Mong Kok,十八座狗仔粉,Snacks,4.1,濃稠嘅湯底加上辣菜脯、簡直係深夜慰藉心靈嘅良藥,,,
Sham Shui Po,維記咖啡粉麵,Noodles,4.1,豬潤麵嘅霸主、雖然環境簡陋、但個湯底鮮甜到無人能及,,,
Sham Shui Po,公和荳品廠,Snacks/Chinese Pastries,4.2,百年老字號豆製品、豆花好有豆味、炸豆腐亦係必點,,,
Sham Shui Po,合益泰小食,Snacks,4.4,滑溜腸粉配上麻醬、雖然要排隊、但食完你會覺得好值得,,,
Sham Shui Po,新香園,Cha Chaan Teng,4.2,蛋牛治係傳奇、烘底之後香脆可口、牛肉味極濃,,,
Sham Shui Po,文記車仔麵,Noodles/Snacks,4.4,米芝蓮推介、配料種類多到揀唔曬、個辣汁係靈魂,,,
Sham Shui Po,蘇媽.蘇媽,Malaysian,4.2,地道大馬風味、肉骨茶藥材味濃郁、飲完個人好舒服,,,
Sham Shui Po,綠林甜品,Dessert,4.1,老牌甜品店、栗子露好香濃、好有傳統風味,,,
Sham Shui Po,愛文生,Dai Pai Dong,4.3,大排檔風味、黑椒薯仔牛柳粒係必點、火候十足,,,
Sham Shui Po,圓方餃子粥麵,Snacks/Dumplings,4.1,餃子皮薄餡靚、韭菜餃新鮮到爆、食到停唔到口,,,
Sham Shui Po,坤記糕品,Chinese Pastries,4.2,白糖糕同砵仔糕、甜而不膩、係香港人嘅共同回憶,,,
Kowloon City,清真牛肉館,Shanghainese (Hu)/Snacks,4.3,牛肉餅多汁到會噴出嚟、記得準備紙巾呀,,,
Kowloon City,創發潮州飯店,Teochew,4.1,地道潮汕味道、凍蟹同滷水鵝片係極品,,,
Kowloon City,公和荳品,Snacks/Chinese Pastries,4,除咗深水埗、呢度嘅分店一樣咁滑,,,
Kowloon City,方榮記,Hot Pot,4.2,沙嗲牛肉火鍋鼻祖、個湯底濃到可以掛喺肉上面、正,,,
Kowloon City,地茂館甜品,Dessert,4.3,杏仁茶好香好幼滑、食完皮膚都好似好咗咁,,,
Kowloon City,黃珍珍泰國菜,Thai,4,老字號泰菜、咖喱配薄餅、我一個人可以食三個,,,
Kowloon City,豪華餅店,Bakery,4.1,傳統港式麵包、酥皮蛋撻係好多人由細食到大,,,
Kowloon City,小曼谷,Thai,4.2,有 Live Band 聽、一邊飲椰青一邊食泰菜、好似去咗曼谷咁,,,
Kowloon City,合成甜品,Dessert,4.1,潮州綠豆爽、清熱消暑、最啱夏天行完街食,,,
Kowloon City,泰潮,Thai,4.1,米芝蓮推薦泰菜、海南雞飯好滑、油飯好香,,,
Yuen Long,大榮華酒樓,Cantonese/Nostalgic,4.1,圍村風味、豬油撈飯真係食一次驚艷一次、好邪惡呀,,,
Yuen Long,佳記甜品,Dessert,4,B仔涼粉名震全港、份量大到要兩三個人先食得曬,,,
Yuen Long,好到底麵家,Noodles,4.2,蝦子撈麵名不虛傳、麵條爽口、蝦子鮮味十足,,,
Yuen Long,永年士多,Noodles/Snacks,4.1,車仔麵名店、個辣醬係招牌、鍾意食辣嘅你一定要試,,,
Yuen Long,爽爽,Cantonese/Snacks,4.1,醉雞同豬手好入味、酒味香濃、夏天食好爽口,,,
Yuen Long,發記腸粉,Snacks,4.2,即叫即蒸、腸粉滑到好似絲綢咁、加埋甜豉油正爆,,,
Yuen Long,阿土伯鹽酥雞,Taiwanese/Snacks,4.1,台灣味道、炸得好香脆、好似去咗台北夜市咁,,,
Yuen Long,老友記,Dai Pai Dong,4,傳統大排檔、炒蜆夠曬鑊氣、係夜晚宵夜首選,,,
Yuen Long,想點就點,Dim Sum,4.2,新派點心、造型得意又好食、最啱影相,,,
Yuen Long,勝利牛丸,Noodles,4.1,牛丸彈牙到可以打乒乓波、湯底清甜、好純粹嘅味道,,,
Tsuen Wan,嘉樂冰廳,Cha Chaan Teng,4.1,巨型火腿蛋庵列、厚到好似枕頭咁、睇到都飽,,,
Tsuen Wan,山西刀削麵,Noodles,4.2,麵條口感紮實、個麻辣湯底辣得嚟好香,,,
Tsuen Wan,路德圍小食街,Snacks,4.3,唔係一間店、而係成條街、章魚小丸子同豆花必食,,,
Tsuen Wan,民豐粉麵行,Snacks/Chinese Pastries,4.4,爆餡韭菜餅、每次去都要排隊、但嗰種滿足感無敵,,,
Tsuen Wan,莎樂美餐廳,Western/Nostalgic,4,懷舊扒房、個黑椒汁係兒時記憶中嘅味道,,,
Tsuen Wan,轉角見,Western/Burger,4.2,手工漢堡、牛肉多汁、個裝修仲好 Chill 添,,,
Tsuen Wan,大慶,Cha Chaan Teng/Snacks,4.1,地道小食、佢哋嘅雞脾炸得好香、係學生時代嘅至愛,,,
Tsuen Wan,金銘潮州粉麵,Noodles,4.1,魚蛋粉好彈牙、湯底有陣陣大地魚香,,,
Tsuen Wan,隱世 Cafe,Coffee/Cafe,4.2,荃灣工廈好多寶藏、呢間拉花好靚、適合下午茶,,,
Tsuen Wan,餃子屋,Snacks/Dumplings,4.3,手包餃子、款式多、皮有咬口、係住家風味,,,
Sha Tin,龍華酒店,Cantonese/Nostalgic,4,沙田乳鴿名店、雖然老舊、但嗰陣懷舊氣息係冇嘢可以代替,,,
Sha Tin,盛記麵家,Noodles,4.2,環境好有藝術感、牛腩麵水準穩定、係沙田人嘅回憶,,,
Sha Tin,靚靚,Cha Chaan Teng,4.1,新派冰室、個芝士撈丁好吸引、後生仔最愛,,,
Sha Tin,好運中心小食,Snacks,4.1,各式各樣嘅掃街小食、雞蛋仔好脆,,,
Sha Tin,利苑酒家,Fine Dining Cantonese,4.3,米芝蓮常客、楊枝甘露起源地、質素有保證,,,
Sha Tin,大圍金禧,Dim Sum,4,大圍附近好多好嘢食、呢度嘅點心性價比好高,,,
Sha Tin,楓林小館,Cantonese,4.1,紅燒乳鴿皮脆肉嫩、老牌味道、值得一試,,,
Sha Tin,陳根記,Dai Pai Dong,4.2,大排檔之王、雖然搬咗位、但個鑊氣依然咁勁,,,
Sha Tin,點心工房,Dim Sum,4.1,即叫即蒸、個金網脆皮腸粉口感好豐富,,,
Sha Tin,手作家居酒屋,Japanese/Skewers,4.2,大圍站附近、串燒好專業、最啱飲杯嘢傾偈,,,
Wan Chai,甘牌燒鵝,Cantonese/Roast Meat,4.4,米芝蓮一星、燒鵝皮脆油香、排隊都係值得嘅,,,
Wan Chai,金鳳茶餐廳,Cha Chaan Teng,4.2,無冰凍奶茶、唔會被冰稀釋、味道濃郁到極點,,,
Wan Chai,竺扶大排檔,Dai Pai Dong,4.1,新派大排檔、黑椒薯仔牛柳粒做得好出色,,,
Wan Chai,再興燒臘,Cantonese/Roast Meat,4,叉燒係招牌、雖然服務好「地道」、但味道真係一流,,,
Wan Chai,橋底辣蟹,Cantonese/Seafood,4.1,蒜香入味、係灣仔嘅代表作,,,
Wan Chai,靠得住,Congee,4.2,米芝蓮推介粥店、心肝寶貝粥好鮮甜、補身之選,,,
Wan Chai,Honbo,Western/Burger,4.3,高質漢堡、肉餅比例啱啱好、個包仲烘到好脆,,,
Wan Chai,Joy Hing,Cantonese/Roast Meat,4,叉燒迷必去、每一塊都帶點焦香,,,
Wan Chai,自助山,Western/Buffet,4.4,旋轉餐廳、一邊食自助餐一邊睇海景、浪漫,,,
Wan Chai,Samsen,Thai,4.5,泰國街頭風味、個船麵湯底濃到爆、好似去咗曼谷咁,,,
Sai Wan,新興食家,Dim Sum,4.3,凌晨 3 點開門、流沙包真係會流沙、係宵夜傳奇,,,
Sai Wan,多美意餅店,Bakery,4.1,傳統拿破崙蛋糕、層次感超豐富、甜而不膩,,,
Sai Wan,碼頭大排檔,Dai Pai Dong,4,對住海景飲啤酒食小炒、呢啲先係生活呀,,,
Sai Wan,阿元來了,Taiwanese,4.2,台灣街頭味道、魯肉飯同鹽酥雞好地道,,,
Sai Wan,祥香茶餐廳,Cha Chaan Teng,4,西環三寶之一、蓮蓉包好出名、懷舊感滿分,,,
Sai Wan,波記燒臘,Cantonese/Roast Meat,4.2,瀨粉配燒鵝、湯底鮮甜、燒鵝皮好香,,,
Sai Wan,隨變雞煲,Hot Pot/Chicken Pot,4.1,香辣入味、食完雞煲再打邊爐、滿足感爆燈,,,
Sai Wan,海安咖啡室,Cha Chaan Teng/Nostalgic,4,百年老店、紅豆冰同西多士係必點、好有歷史味,,,
Sai Wan,嚐囍煲仔小菜,Cantonese/Claypot Rice,4.2,米芝蓮推介、飯焦香脆、配料夠足,,,
Sai Wan,Fish & Chick,Western,4.3,海邊炸魚薯條、魚肉鮮嫩、環境好 Chill,,,
Sheung Wan,瑞記咖啡,Cha Chaan Teng,4.2,樽仔奶茶同西多士、位於街市熟食中心、好有風味,,,
Sheung Wan,孖沙茶餐廳,Cha Chaan Teng,4.1,三蛋叉燒飯、蛋汁撈飯真係無敵、簡單嘅快樂,,,
Sheung Wan,海安咖啡室,Cha Chaan Teng/Nostalgic,4,老香港嘅感覺、喺度食個茶餐、時間好似停咗咁,,,
Sheung Wan,水記,Noodles/Dai Pai Dong,4.2,牛雜名店、牛沙瓜好少地方有得食、口感好特別,,,
Sheung Wan,蓮香居,Dim Sum/Cantonese,4.1,傳統推車仔點心、熱鬧程度令人感受到舊酒家魅力,,,
Sheung Wan,茶安記,Cha Chaan Teng,4.1,蔥油雞扒飯超吸引、蔥油香到可以送三碗飯,,,
Sheung Wan,Blue Supreme,Western/Bar,4.3,精釀啤酒與西餐、環境好有型、適合放鬆,,,
Sheung Wan,Yardbird,Japanese/Skewers,4.4,燒鳥名店、雞皮、雞腎燒得好專業、氣氛超正,,,
Sheung Wan,九記牛腩,Noodles,4,雖然係遊客店、但牛腩水準依然係高,,,
Sheung Wan,玉葉甜品,Dessert/Dai Pai Dong,4,斜路大排檔、食碗綠豆沙、感受老上環嘅氣息,,,
Tai Po,陳漢記,Noodles/Claypot Rice,4.2,腸粉同煲仔飯係一絕、腸粉滑到好似溜入喉嚨咁,,,
Tai Po,妹記,Cantonese/Snacks,4.1,熟食中心入面、炸豬扒好厚好脆、性價比極高,,,
Tai Po,群記清湯腩,Noodles,4.3,牛腩湯底清甜、限量供應、想食要趁早呀,,,
Tai Po,亞婆豆腐花,Snacks,4.2,滑溜清甜、行完大埔墟街市食一碗、好舒暢,,,
Tai Po,大埔振興,Snacks,4.1,牛丸專家、牛丸彈牙有肉汁、係大埔人嘅驕傲,,,
Tai Po,森林焙煎所,Coffee/Cafe,4.3,精緻 Cafe、拉花靚到唔捨得飲、裝修好清新,,,
Tai Po,一鳴拉麵,Japanese/Ramen,4.2,博多風格、湯底濃郁、麵條硬度可以揀,,,
Tai Po,蔡潤記,Noodles,4.1,魚蛋粉老字號、魚片頭好有魚味,,,
Tai Po,妹記打冷,Teochew/Dai Pai Dong,4,大埔好多地道打冷、蠔餅炸得好鬆脆,,,
Tai Po,三門仔海鮮,Cantonese/Seafood,4.1,海鮮新鮮到爆、喺熟食中心食價錢好親民,,,
Kwun Tong,How Food,Coffee/Cafe,4.3,觀塘工廈好多寶藏、呢間空間感大、適合傾偈,,,
Kwun Tong,小時光,Taiwanese/Cafe,4.2,懷舊校園裝修、滷肉飯好有台灣風味、好似返咗學咁,,,
Kwun Tong,龍騰,Dim Sum,4.1,喺工廈入面、係打工仔嘅午餐天堂,,,
Kwun Tong,The Hub,Coffee/Cafe,4.2,文青風餐廳、食物精緻、環境好安靜,,,
Kwun Tong,Nuttea,Dessert/Drinks,4.1,堅果奶茶、健康得嚟又好飲、素食者都飲得,,,
Kwun Tong,海潮食堂,Cha Chaan Teng,4.2,蔥油雞扒撈丁、蔥油係靈魂、食完好滿足,,,
Kwun Tong,The Stadium,Western/Bar,4.1,一邊睇波一邊食 Burger、氣氛好熱鬧,,,
Kwun Tong,來來重慶雞煲,Hot Pot/Chicken Pot,4,辣得過癮、雞肉入味、係觀塘聚會首選,,,
Kwun Tong,燚,Japanese/Yakiniku,4.2,日式燒肉、性價比高、牛肉質素好,,,
Kwun Tong,米子,Japanese,4.1,日式定食、賣相好靚、味道清淡健康,,,
North Point,利強記,Snacks,4.2,外脆內軟嘅雞雞蛋仔、雞蛋味好濃、行過一定會被香味吸引,,,
North Point,東寶小館,Dai Pai Dong,4.3,戰鬥碗飲啤酒、氣氛火辣辣、風沙雞係必點,,,
North Point,鳳城酒家,Cantonese/Shunde Cuisine,4.1,傳統順德菜、大良炒鮮奶好考功夫、滑溜香甜,,,
North Point,王記糖水,Dessert,4.2,芝麻糊糊好香、宵夜時段好多人、係北角人嘅愛,,,
North Point,添好運,Dim Sum,4.4,呢度嘅分店水準一樣好穩定,,,
North Point,蛇王良,Cantonese/Tonic,4.1,補身蛇羹、冬天食完個人暖笠笠,,,
North Point,第一腸粉,Snacks,4.2,即叫即拉、個皮薄到可以睇到入面嘅配料,,,
North Point,太興,Cantonese/Roast Meat,4,雖然係連鎖、但呢度嘅燒味水準幾好,,,
North Point,Villa Villa,Coffee/Cafe,4.2,北角匯附近、海景配下午茶、超 Chill,,,
North Point,潮樂,Teochew/Snacks,4.1,地道潮州小食、韭菜餅炸得好脆,,,
Tuen Mun,紅橋Cafe區,Coffee/Cafe,4.2,屯門後花園、好多特色 Cafe、啱曬週末放鬆,,,
Tuen Mun,三聖墟海鮮,Cantonese/Seafood,4.3,即買即煮、蟶子超大隻、海鮮新鮮,,,
Tuen Mun,龍門居掃街,Snacks,4.4,宵夜天堂、章魚丸、煎餅、甜品應有盡有,,,
Tuen Mun,聚點,Dim Sum,4.1,新派點心、流沙包好正、裝修好現代,,,
Tuen Mun,屯門牛,Western/Burger,4.2,手工漢堡、牛肉好厚、配埋特製醬汁正爆,,,
Tuen Mun,嘆咖啡,Coffee/Cafe,4.2,環境好舒服、咖啡豆係自家烘焙、好專業,,,
Tuen Mun,萬芳冰室,Cha Chaan Teng,4,懷舊風格、炸雞脾紅豆冰係黃金組合,,,
Tuen Mun,生利美食,Noodles,4.1,屯門老牌粉麵、牛腩滷得好入味,,,
Tuen Mun,小食快線,Snacks,4,紅橋附近、炸燒賣好受後生仔歡迎,,,
Tuen Mun,四季火鍋,Hot Pot,4.2,屯門人聚會點、食材新鮮、湯底選擇多,,,
Tseung Kwan O,海濱Cafe區,Coffee/Cafe,4.3,一邊睇海景一邊嘆咖啡、好似去咗外國度假咁,,,
Tseung Kwan O,PopCorn食府,Cantonese/Chain,4.1,各大連鎖名店雲集、揀咩都唔會出錯,,,
Tseung Kwan O,Stay With Cafe,Coffee/Cafe,4.2,拉花精緻、環境好安靜、適合睇書,,,
Tseung Kwan O,南記粉麵,Noodles,4,雖然係連鎖、但將軍澳人對佢情有獨鍾,,,
Tseung Kwan O,坑口泰菜,Thai,4.2,坑口附近好多泰菜、酸辣鮮蝦湯好開胃,,,
Tseung Kwan O,Urban Coffee Roaster,Coffee/Cafe,4.3,專業咖啡、個裝修好有工業風,,,
Tseung Kwan O,九份飽,Taiwanese,4.2,台灣味道、牛肉麵同魯肉飯都好地道,,,
Tseung Kwan O,一壽司,Japanese,4.1,以前係火紅店、而家依然係平價壽司好選擇,,,
Tseung Kwan O,望月樓,Fine Dining Cantonese/Dim Sum,4.3,高級粵菜、點心做得好精緻、環境好舒服,,,
Tseung Kwan O,PizzaExpress,Western/Pizza,4.1,海邊食 Pizza、環境加分、氣氛好 Chill,,,
Sai Kung,全記海鮮,Cantonese/Seafood,4.3,海鮮街代表、對住個海食海鮮、真係人生一大樂事,,,
Sai Kung,西貢咖啡餅店,Bakery/Snacks,4.4,葡撻熱辣辣、每次出爐都排曬長龍、一定要試,,,
Sai Kung,Littoral,Western/Cafe,4.3,海邊精緻餐廳、環境超靚、最啱嚟拍拖傾偈,,,
Sai Kung,西貢冰室,Cha Chaan Teng,4.1,菠蘿油同奶茶、喺西貢行完山嚟返個下午茶正,,,
Sai Kung,手工麵包店,Bakery,4.2,手工麵包、香味飄滿成條街,,,
Sai Kung,勝記海鮮,Cantonese/Seafood,4.3,米芝蓮海鮮、環境比一般大排檔好、味道有保證,,,
Sai Kung,The Coffee Academics,Coffee/Cafe,4.2,高質咖啡、對住海旁嘆咖啡、好享受,,,
Sai Kung,Pad Thai,Thai,4.1,地道泰菜、喺西貢小巷入面、好有Feel,,,
Sai Kung,Jaspa's,Western,4,美式風格、份量好大、適合一大班朋友聚會,,,
Sai Kung,六福菜館,Cantonese/Seafood,4.4,米芝蓮一星、海鮮煮法好特別、蘇眉好滑,,,
Stanley,The Boathouse,Western,4.2,標誌性嘅藍色建築、食西餐睇海景、浪漫之選,,,
Stanley,PizzaExpress,Western/Pizza,4.1,窗外就係赤柱灣、海風吹埋嚟、特別好味,,,
Stanley,Stanley Cafe,Cha Chaan Teng,4,赤柱大街好多寶藏、呢間全日早餐好豐富,,,
Stanley,Beesy Bay,Western/Bar,4.2,海邊酒吧餐廳、黃昏嚟飲杯嘢、心情會變好,,,
Stanley,Pane e Latte,Western/Bakery,4.4,裝修好美、麵包好精緻、必打卡,,,
Stanley,Spiaggia,Western/Italian,4.1,意式料理、Pasta 做得好彈牙,,,
Stanley,美利樓餐廳,Western/Fine Dining Cantonese,4,古蹟入面食飯、建築物好宏偉、好有歷史感,,,
Stanley,Beef & Liberty,Western/Burger,4.3,高質漢堡、肉質鮮嫩、配埋特製薯條正,,,
Stanley,King Ludwig,Western/German,4.1,一邊飲大杯啤酒一邊食豬手、好爽,,,
Stanley,Stan Cafe,Coffee/Cafe,4.2,位於馬坑公園附近、安靜舒服、咖啡好飲,,,
Tin Shui Wai,嘉湖酒家,Dim Sum,4,天水圍人嘅回憶、茶位便宜、點心份量足,,,
Tin Shui Wai,屏山小食,Cantonese/Roast Meat,4.1,傳統圍村味道、燒肉皮脆肉嫩、名不虛傳,,,
Tin Shui Wai,屏山老飯店,Cantonese,4.2,傳統廣東菜、懷舊味道、大排筵席好熱鬧,,,
Tin Shui Wai,天澤掃街,Snacks,4.3,商場附近好多小食、雞蛋仔同格仔餅好脆,,,
Tin Shui Wai,華嫂冰室,Cha Chaan Teng,4.5,招牌蛋牛治必食、雖然喺屏山、但係天水圍代表,,,
Tin Shui Wai,泰式美味,Thai,4.1,地道泰菜、酸辣粉好開胃,,,
Tin Shui Wai,天盛Cafe,Coffee/Cafe,4.2,拉花靚、環境好舒服,,,
Tin Shui Wai,龍門居分店,Snacks,4,宵夜小食好選擇,,,
Tin Shui Wai,點心名家,Dim Sum,4.1,即叫即蒸、性價比極高,,,
Tin Shui Wai,牛涮鍋,Hot Pot/Japanese,4.2,吃到飽火鍋、牛肉質素穩定、係家庭聚會首選,,,
